id,transaction_id,event_id,timestamp,value,in_seq_pos
1,1,13,2022-03-01 08:55:02.400291,,2
2,1,15,2022-03-01 08:54:53.400291,,3
3,1,15,2022-03-01 08:54:54.400291,,4
4,1,12,2022-03-01 08:54:58.400291,,4
5,2,4,2022-02-28 08:55:01.400459,,3
6,2,8,2022-02-28 08:55:00.400459,,1
7,2,12,2022-02-28 08:55:02.400459,,2
8,3,6,2022-04-06 08:54:58.400573,,4
9,3,5,2022-04-06 08:55:00.400573,,4
10,3,4,2022-04-06 08:54:59.400573,,1
11,3,15,2022-04-06 08:55:01.400573,,2
12,3,2,2022-04-06 08:54:59.400573,,2
13,4,16,2022-01-07 08:55:00.400743,,1
14,4,16,2022-01-07 08:54:55.400743,,2
15,4,7,2022-01-07 08:55:02.400743,,4
16,5,9,2022-03-17 08:54:57.400937,,3
17,5,7,2022-03-17 08:54:55.400937,,1
18,5,7,2022-03-17 08:55:01.400937,,3
19,6,13,2022-01-06 08:54:57.401136,,3
20,6,2,2022-01-06 08:55:02.401136,,3
21,6,5,2022-01-06 08:55:01.401136,,2
22,6,6,2022-01-06 08:54:53.401136,,4
23,7,3,2022-03-05 08:54:57.401278,,4
24,7,2,2022-03-05 08:54:58.401278,,3
25,7,4,2022-03-05 08:54:58.401278,,1
26,7,5,2022-03-05 08:54:58.401278,,2
27,8,9,2022-04-01 08:55:00.401460,,2
28,8,16,2022-04-01 08:54:54.401460,,3
29,8,15,2022-04-01 08:54:59.401460,,1
30,9,14,2022-02-15 08:54:58.401584,,4
31,9,4,2022-02-15 08:55:00.401584,,1
32,9,5,2022-02-15 08:54:57.401584,,2
33,9,16,2022-02-15 08:54:54.401584,,1
34,9,2,2022-02-15 08:54:59.401584,,3
35,10,10,2022-02-17 08:55:01.401764,,4
36,10,3,2022-02-17 08:55:01.401764,,3
37,10,15,2022-02-17 08:54:55.401764,,1
38,10,2,2022-02-17 08:54:55.401764,,2
39,10,6,2022-02-17 08:54:58.401764,,2
40,11,3,2022-03-26 08:54:54.402029,,4
41,11,8,2022-03-26 08:54:59.402029,,3
42,11,9,2022-03-26 08:54:56.402029,,1
43,11,13,2022-03-26 08:55:00.402029,,2
